T_e,T_c,Capacity,Power,capacity_pred,power_pred,capacity_residual,power_residual,capacity_flag,power_flag,any_flag
-15,45,3050,1624,3050.1572177094968,1624.225997448144,-0.15721770949676284,-0.22599744814397127,False,False,False
-15,50,2612,1628,2611.5078415584703,1627.6873051673497,0.492158441529682,0.3126948326503225,False,False,False
-15,55,2206,1615,2205.445687689953,1614.922724150366,0.5543123100469529,0.07727584963390655,False,False,False
-10,25,6777,1600,6777.244723800826,1600.0625449157117,-0.24472380082625023,-0.06254491571166909,False,False,False
-10,30,6137,1687,6136.688819290041,1687.3899796011726,0.31118070995944436,-0.38997960117262664,False,False,False
-10,35,5516,1764,5515.589317660055,1763.6778821556463,0.4106823399451969,0.3221178443536701,False,False,False
-10,40,4915,1827,4915.464646140208,1827.1504088725007,-0.4646461402080604,-0.15040887250074775,False,False,False
-10,45,4338,1876,4337.833231959827,1876.031716045103,0.1667680401733378,-0.03171604510293946,False,False,False
-10,50,3784,1909,3784.2135023482515,1908.5459599668216,-0.21350234825149528,0.454040033178444,False,False,False
-10,55,3256,1923,3256.123884534816,1922.9172969310237,-0.12388453481617034,0.08270306897634327,False,False,False
-10,60,2755,1917,2755.0828057488507,1917.3698832310768,-0.08280574885066017,-0.3698832310767557,False,False,False
-5,25,8734,1663,8733.88304159501,1662.9261997830038,0.11695840498941834,0.07380021699623285,False,False,False
-5,30,7996,1794,7996.135759233543,1793.6066600097192,-0.13575923354255792,0.39333999028076505,False,False,False
-5,35,7271,1911,7270.787769268509,1911.3305698841205,0.21223073149121774,-0.3305698841204503,False,False,False
-5,40,6559,2014,6559.357498929241,2014.3220856995752,-0.3574989292410464,-0.32208569957515465,False,False,False
-5,45,5863,2101,5863.363375445075,2100.8053637494513,-0.36337544507478015,0.19463625054868317,False,False,False
-5,50,5184,2169,5184.32382604534,2169.004560327116,-0.3238260453399562,-0.004560327115996188,False,False,False
-5,55,4524,2217,4523.757277959376,2217.1438317259376,0.24272204062435776,-0.14383172593761628,False,False,False
-5,60,3883,2243,3883.182158416512,2243.447334239283,-0.18215841651181108,-0.4473342392830091,False,False,False
-5,65,3264,2246,3264.1168946460857,2246.139224160521,-0.11689464608571143,-0.13922416052082554,False,False,False
0,25,10989,1663,10989.191200137619,1663.4407058200097,-0.1912001376185799,-0.44070582000972536,False,False,False
0,30,10144,1844,10143.803073597865,1844.1062080414135,0.196926402135432,-0.10620804141353801,False,False,False
0,35,9304,2010,9303.75712897017,2009.898141689176,0.24287102982998476,0.10185831082389996,False,False,False
0,40,8471,2159,8470.571793483874,2159.040663056665,0.4282065161260107,-0.040663056664925534,False,False,False
0,45,7646,2290,7645.765494368307,2289.7579284372478,0.2345056316926275,0.24207156275224406,False,False,False
0,50,6831,2400,6830.8566588528065,2400.2740941242932,0.143341147193496,-0.2740941242932422,False,False,False
0,55,6027,2489,6027.363714166702,2488.8133164111678,-0.3637141667022661,0.18668358883223846,False,False,False
0,60,5237,2554,5236.805087539333,2553.5997515912395,0.19491246066718304,0.40024840876048984,False,False,False
0,65,4461,2593,4460.699206200028,2592.8575559578762,0.3007937999718706,0.1424440421237705,False,False,False
5,25,13562,1593,13562.187045631725,1592.81705090279,-0.18704563172468625,0.18294909720998476,False,False,False
5,30,12599,1830,12598.70860858607,1830.0996115723158,0.29139141392988677,-0.09961157231578,False,False,False
5,35,11633,2051,11633.515242968107,2050.591585446873,-0.5152429681074864,0.4084145531269314,False,False,False
5,40,10668,2252,10668.125376007172,2252.51712881983,-0.1253760071722354,-0.5171288198298498,False,False,False
5,45,9704,2434,9704.057434932596,2434.100397984554,-0.057434932596152066,-0.10039798455409255,False,False,False
5,50,8743,2594,8742.829846973716,2593.565549234413,0.17015302628351492,0.43445076558691653,False,False,False
5,55,7786,2729,7785.961039359864,2729.136738862775,0.038960640135883295,-0.1367388627750188,False,False,False
5,60,6835,2839,6834.969439320377,2839.038123163006,0.03056067962279485,-0.03812316300582097,False,False,False
5,65,5891,2922,5891.373474084585,2921.493858428476,-0.3734740845848137,0.50614157152404,False,False,False
10,25,16472,1442,16471.888424280398,1442.2662229074049,0.11157571960211499,-0.26622290740488097,False,False,False
10,30,15380,1743,15379.87021040123,1742.7978584784864,0.12978959877000307,0.20214152151356757,False,False,False
10,35,14279,2025,14279.079957465388,2024.621889033273,-0.07995746538836102,0.3781109667270357,False,False,False
10,40,13171,2286,13171.036092702205,2285.9624708651313,-0.03609270220476901,0.03752913486869147,False,False,False
